epoch,lr,train_loss,train_acc,val_loss,val_acc,best_acc,time_sec
165,0.00774972,0.012719,99.642,0.216352,94.490,94.490,19.4
166,0.00732474,0.013532,99.630,0.216960,94.160,94.490,18.3
167,0.00691083,0.011017,99.686,0.214059,94.330,94.490,17.8
168,0.00650810,0.010572,99.720,0.209181,94.500,94.500,18.1
169,0.00611667,0.007693,99.796,0.199551,94.630,94.630,17.4
170,0.00573663,0.006711,99.828,0.202572,94.650,94.650,17.5
171,0.00536807,0.006290,99.850,0.205336,94.760,94.760,17.4
172,0.00501111,0.005240,99.882,0.194425,95.000,95.000,17.9
173,0.00466582,0.003965,99.932,0.189850,95.130,95.130,17.5
174,0.00433229,0.003338,99.944,0.192767,95.060,95.130,17.5
175,0.00401063,0.002920,99.956,0.195780,95.040,95.130,17.7
176,0.00370090,0.002891,99.954,0.185812,95.070,95.130,18.6
177,0.00340319,0.002639,99.966,0.180587,95.200,95.200,20.0
178,0.00311757,0.002441,99.974,0.177339,95.260,95.260,20.8
179,0.00284413,0.001983,99.984,0.178210,95.310,95.310,19.9
180,0.00258292,0.002072,99.982,0.179130,95.320,95.320,20.7
181,0.00233402,0.002114,99.982,0.178640,95.290,95.320,21.4
182,0.00209750,0.002249,99.970,0.175766,95.280,95.320,21.1
183,0.00187341,0.001958,99.990,0.173389,95.540,95.540,22.1
184,0.00166181,0.001881,99.990,0.172686,95.440,95.540,20.6
185,0.00146276,0.001935,99.988,0.172189,95.400,95.540,22.1
186,0.00127631,0.001819,99.992,0.171628,95.410,95.540,21.3
187,0.00110251,0.001824,99.984,0.171425,95.570,95.570,19.4
188,0.00094140,0.001700,99.996,0.171284,95.610,95.610,19.6
189,0.00079302,0.001855,99.988,0.173038,95.490,95.610,19.2
190,0.00065742,0.001688,99.994,0.172594,95.590,95.610,19.9
191,0.00053463,0.001708,99.992,0.171293,95.520,95.610,19.1
192,0.00042467,0.001841,99.980,0.171028,95.570,95.610,19.1
193,0.00032759,0.001604,99.998,0.174682,95.510,95.610,18.7
194,0.00024339,0.001622,99.998,0.171825,95.590,95.610,18.6
195,0.00017212,0.001630,99.996,0.170236,95.610,95.610,18.6
196,0.00011378,0.001602,99.994,0.173560,95.530,95.610,18.4
197,0.00006838,0.001584,99.994,0.171284,95.480,95.610,18.0
198,0.00003595,0.001666,99.996,0.170859,95.600,95.610,18.2
199,0.00001649,0.001640,99.994,0.171407,95.540,95.610,18.3
200,0.00001000,0.001573,99.998,0.171592,95.630,95.630,18.4
